1000,675,6.7344754308,1,6.90775527898,6.51471269087,40.4969134626
2000,1347,8.46409615819,1,7.60090245954,7.20563517641,87.7268487978
3000,2011,9.64211248583,1,8.00636756765,7.60638738977,120.88010589
4000,2651,10.4914547904,1,8.2940496401,7.88269220629,109.288608739
5000,3304,11.2674864833,1,8.51719319142,8.10288913464,70.7106781187
6000,3985,12.0337626602,1,8.69951474821,8.29029259122,22.0907220344
7000,4605,12.5472699517,1,8.85366542804,8.43489794869,55.0272659688
8000,5292,13.1904257685,1,8.98719682066,8.57395152523,78.7146746166
9000,5956,13.7238175357,1,9.10497985632,8.6921543938,96.7677632272
10000,6637,14.2551508568,1,9.21034037198,8.80041533315,87.4757109145
11000,7310,14.7335857807,1,9.30565055178,8.89699855274,129.691942695
12000,7993,15.2018317603,1,9.39266192877,8.98632143763,194.699768875
13000,8652,15.5997017357,1,9.47270463644,9.06554578707,178.0
14000,9340,16.0280052654,1,9.5468126086,9.14206153122,178.538511252
15000,10007,16.4002712098,1,9.61580548008,9.21104012709,219.462980933
16000,10654,16.7249436811,1,9.68034400122,9.27369068748,246.162547923
17000,11356,17.1204806561,1,9.74096862304,9.33750151759,290.303289682
18000,12034,17.4639808409,1,9.79812703688,9.39549125578,335.83924726
19000,12742,17.8364716922,1,9.85219425815,9.45265890268,401.920390127
20000,13424,18.1591257622,1,9.90348755254,9.50479942871,415.249322697
21000,14069,18.4222622348,1,9.95227771671,9.55172907438,416.557318985
22000,14755,18.7302375625,1,9.99879773234,9.59933728738,493.821830218
23000,15432,19.0173389907,1,10.0432494949,9.64419855459,506.785950871
24000,16120,19.3091937026,1,10.0858091093,9.68781601606,537.017690584
25000,16807,19.5913432746,1,10.1266311039,9.72955074528,479.508081267
26000,17484,19.8542540509,1,10.165851817,9.76904145598,428.812313256
27000,18179,20.1303051804,1,10.203592145,9.80802236072,395.535080619
28000,18834,20.3557992496,1,10.2399597892,9.84341902607,419.761837236
29000,19449,20.5342011374,1,10.275051109,9.87555093384,452.216762184
30000,20116,20.7635567904,1,10.3089526606,9.90927079729,506.951674225
31000,20798,21.0030963218,1,10.3417424835,9.94261210722,433.797187635
32000,21443,21.2007151059,1,10.3734911818,9.97315353077,401.327796197
33000,22120,21.4257643842,1,10.4042628404,10.0042374556,439.331310061
34000,22822,21.6699177722,1,10.4341158036,10.035480262,455.727989046
35000,23505,21.8910639637,1,10.4631033405,10.0649684435,475.078940809
36000,24185,22.1050918453,1,10.4912742174,10.0934878853,499.26746339
37000,24821,22.275564809,1,10.5186731916,10.119445348,497.646460853
38000,25476,22.4603014728,1,10.5453414387,10.1454921115,480.720292894
39000,26138,22.6481253864,1,10.5713169251,10.1711454732,546.296622724
40000,26790,22.8243647681,1,10.5966347331,10.1957839625,507.105511703
41000,27420,22.9795022844,1,10.6213273457,10.2190279531,532.541078228
42000,28108,23.1804929957,1,10.6454248973,10.2438095123,566.038867923
43000,28772,23.3585882759,1,10.6689553947,10.267157971,603.363903461
44000,29492,23.5787778118,1,10.6919449129,10.2918743191,628.401145766
45000,30150,23.7462245231,1,10.7144177688,10.3139402022,655.771301598
46000,30813,23.9152271496,1,10.7363966755,10.3356919578,641.379762699
47000,31493,24.0948796791,1,10.7579028807,10.3575205779,699.908565457
48000,32198,24.2907537166,1,10.7789562899,10.3796596178,729.547805151
49000,32895,24.4776153224,1,10.7995755771,10.4010759495,717.651726118
50000,33548,24.6293891902,1,10.8197782844,10.4207325281,757.408740377
51000,34223,24.7952658927,1,10.8395809117,10.4406532116,778.267306264
52000,34892,24.9546586493,1,10.8589989976,10.4600128556,781.547183476
53000,35571,25.1190996929,1,10.8780471925,10.4792859781,815.892149735
54000,36217,25.2583999251,1,10.8967393255,10.4972839008,753.299409266
55000,36910,25.4285813243,1,10.9150884642,10.516237796,812.859151391
56000,37593,25.5897221673,1,10.9331069697,10.5345731418,840.647369591
57000,38297,25.7629876933,1,10.9508065468,10.5531268431,893.944069839
58000,38975,25.9166970519,1,10.9681982895,10.5706756939,895.600357302
59000,39645,26.0633436563,1,10.9852927229,10.5877201157,915.346928765
60000,40300,26.198604706,1,11.0020998412,10.6041067479,905.037015818
61000,40992,26.3562797219,1,11.0186291432,10.6211322047,873.329262077
62000,41643,26.4860230119,1,11.034889664,10.6368885662,866.8933037
63000,42323,26.6327675089,1,11.0508900054,10.6530859525,852.368464926
64000,42972,26.7586084317,1,11.0666383623,10.6683040198,852.276950293
65000,43620,26.8826731876,1,11.0821425489,10.6832710398,834.098315548
66000,44246,26.9921954512,1,11.097410021,10.6975202509,796.725799758
67000,44903,27.1196115184,1,11.1124478984,10.7122598866,784.45395021
68000,45536,27.2314918029,1,11.1272629842,10.7262585009,815.416458014
69000,46238,27.3833575499,1,11.1418617836,10.7415572498,717.420378857
70000,46940,27.5335805843,1,11.156250521,10.7566254694,681.601056337
71000,47609,27.663029563,1,11.170435156,10.770777098,688.839603972
72000,48295,27.8010625767,1,11.184421398,10.7850833146,721.110255093
73000,48940,27.9143562849,1,11.1982147201,10.798350337,692.572017916
74000,49610,28.0408820087,1,11.2118203722,10.8119477053,667.994011949
75000,50250,28.149468773,1,11.2252433925,10.8247658259,731.513499534
76000,50849,28.2344771893,1,11.2384886193,10.8366157356,669.856701094
77000,51539,28.3691728942,1,11.2515607008,10.8500940816,613.296013357
78000,52223,28.4993343646,1,11.2644641057,10.8632782899,597.678843527
79000,52874,28.6104637118,1,11.2772031314,10.8756670036,569.971929133
80000,53538,28.7277175418,1,11.2897819137,10.8881469611,512.257747623
